Squad,League,Avg. Possession,Expected Goals,NP Expected Goals,Expected Assisted Goals,Shots on Target Against,Saves Made,Clean Sheets,GK Post-Shot Expected Goals,GK Passes Attempted > 40 yards,GK Throws Attempted,GK Avg. Length of Passes,GK Goal Kicks Attempted,GK % of Goal Kicks > 40 yards,GK Avg. Length of Goal Kicks,GK # of Def. Actions Outside Box,GK Avg. Distance from Goal of Def. Actions,Total Shots,Shots on Target,Goals per Shot on Target,Avg. Distance from Goal Shooting,Goals Minus Expected Goals,Long Passes Attempted,Medium Passes Attempted,Short Passes Attempted,Total Passes Attempted,Progressive Distance of Passes,Total Distance of Passes,Expected Assists,Key Passes (directly lead to shot),Completed Passes into Final Third,Completed Passes into Box,Completed Crosses into Box,Progressive Passes,Total Passes Completed,Live Ball Passes,Dead Ball Passes,Passes Completed by Defenders into Open Space,Switches > width of 40 yards,Crosses,Corner Kicks,Shot Creating Actions,Live Ball Passes Leading to Shot,Dead Ball Passes Leading to Shot,Dribbles Leading to Shot,Def. Actions Leading to Shot,Goal Creating Actions,# of Players Tackled,Tackles Leading to Possession,Tackles in Def. Third,Tackles in Mid. Third,Tackles in Att. Third,# of Dribblers Tackled,# of Times Dribbled Past + Tackles,# of Times Dribbled Past,# of Shots Blocked,# of Passes Blocked,Interceptions,Tackles + Interceptions,Clearances,Touches,Touches in Own Box,Touches in Def. Third,Touches in Mid. Third,Touches in Att. Third,Touches in Opp. Box,Live Ball Touches,Attempted Dribbles,Miscontrol,Dispossessed,Passes Received,Progressive Passes Received,Fouls Committed,Fouls Drawn,Loose Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,label
Arsenal 2021 - 2022,Premier League,52.8,1.771052632,1.639473684,1.221052632,3.868421053,2.631578947,0.342105263,1.252631579,14.02631579,4.605263158,0.876315789,218,73.4,1.428947368,1.605263158,0.410526316,15.28947368,4.894736842,0.007894737,0.468421053,-0.192105263,68,214.2105263,216.0526316,522.2105263,2397.473684,7391.263158,0.910526316,11.5,35.63157895,8.657894737,1.947368421,28.42105263,425.6842105,477.6315789,42.84210526,2.026315789,3.473684211,16.65789474,5.473684211,26.89473684,20.31578947,1.736842105,1.447368421,0.631578947,2.552631579,14.21052632,8.184210526,6.868421053,5.131578947,2.210526316,6.421052632,13.15789474,6.736842105,3.236842105,6.921052632,7.789473684,22,17.31578947,621.7894737,58.65789474,187.7894737,271,168.3947368,25.31578947,621.6052632,15.52631579,14.65789474,8.842105263,420.7368421,27.84210526,9.605263158,9.394736842,48.97368421,12.18421053,15.05263158,0
Aston Villa 2021 - 2022,Premier League,46.5,1.260526316,1.207894737,0.997368421,3.921052632,2.526315789,0.289473684,1.223684211,11.63157895,4.631578947,0.884210526,301,40.2,0.921052632,0.894736842,0.389473684,12.13157895,4.184210526,0.007894737,0.463157895,0.055263158,67.65789474,161.4736842,179.0263158,434.1842105,2248.552632,5815.131579,0.789473684,9.368421053,26.81578947,7.710526316,1.842105263,24.63157895,335.4736842,384.6052632,48.21052632,1.868421053,2.552631579,17.63157895,5.157894737,21.86842105,15.68421053,2.210526316,1.263157895,0.368421053,2.421052632,16.68421053,10.05263158,7.894736842,6.815789474,1.973684211,7.894736842,17.07894737,9.184210526,3.684210526,8.236842105,8.947368421,25.63157895,18.23684211,538.7894737,63.39473684,180.7631579,232.7368421,131.1315789,21.47368421,538.7105263,15.44736842,15.65789474,9.052631579,330.9473684,24.10526316,10.55263158,13.26315789,48.68421053,14.15789474,14.76315789,1
Brentford 2021 - 2022,Premier League,44.8,1.344736842,1.221052632,0.963157895,4.710526316,3.289473684,0.236842105,1.3,20.21052632,4.842105263,0.931578947,298,61.4,1.197368421,1.526315789,0.431578947,11.47368421,3.710526316,0.007368421,0.428947368,-0.134210526,75.05263158,161.0526316,166.1052632,428.2105263,2262.368421,5575.447368,0.889473684,8.184210526,24.78947368,6.894736842,2.131578947,23.57894737,307.2631579,380.0789474,46.39473684,1.315789474,1.842105263,16.84210526,4.184210526,19.57894737,12.73684211,2.5,0.947368421,0.657894737,2.052631579,15.97368421,9,7.868421053,6,2.105263158,7.657894737,16.21052632,8.552631579,2.973684211,7.105263158,10.34210526,26.31578947,22.71052632,535.2631579,73.42105263,206.5263158,214.6315789,118.8157895,21.23684211,535.1052632,12.52631579,14.81578947,7.657894737,302.4210526,22.86842105,9.763157895,9.552631579,54.23684211,18.86842105,19.15789474,1
Brighton 2021 - 2022,Premier League,54.4,1.394736842,1.25,0.981578947,3.842105263,2.684210526,0.289473684,1.118421053,14.94736842,4.947368421,0.863157895,241,64.3,1.284210526,0.947368421,0.336842105,12.68421053,3.710526316,0.006842105,0.465789474,-0.342105263,77.73684211,215.9736842,215.0526316,541.7894737,2510,7601.342105,0.828947368,9.368421053,31.23684211,9,1.894736842,28,431.8421053,495.7368421,44.65789474,1.526315789,4,19.15789474,5.263157895,23,16.34210526,2.184210526,1.210526316,0.815789474,1.921052632,17.57894737,10.60526316,8.052631579,6.763157895,2.763157895,6.394736842,14.81578947,8.421052632,3.947368421,8.684210526,9.421052632,27,19.02631579,649.2894737,69.36842105,211.2368421,275.2631579,168.4473684,22.65789474,649.1052632,14.71052632,15.73684211,9.184210526,426.1578947,27.44736842,10.34210526,9.342105263,56.68421053,14.97368421,13.10526316,0
Burnley 2021 - 2022,Premier League,40.2,1.152631579,1.126315789,0.897368421,4.684210526,3.342105263,0.236842105,1.25,22.89473684,4.052631579,1.223684211,304,91.1,1.613157895,2.210526316,0.457894737,10.65789474,3.131578947,0.006842105,0.452631579,-0.310526316,84.63157895,117.6842105,140.1842105,371.2368421,2110.526316,4704.763158,0.736842105,7.526315789,23.07894737,6.315789474,2.210526316,19.18421053,248.7631579,323.0263158,45.55263158,0.842105263,3.552631579,19.65789474,4.815789474,17.94736842,11.81578947,2.131578947,0.736842105,0.657894737,1.552631579,15.52631579,8.526315789,7.184210526,6.184210526,2.157894737,6.578947368,14.05263158,7.473684211,5.552631579,7.842105263,10.78947368,26.31578947,23.34210526,480.1842105,58.94736842,153.2631579,210.4210526,122.0789474,17.34210526,480.1315789,12.60526316,14.18421053,7.657894737,244.2631579,18.63157895,10.36842105,8.736842105,53.34210526,21.76315789,19.28947368,1
Chelsea 2021 - 2022,Premier League,61.8,1.860526316,1.684210526,1.355263158,3.026315789,2.184210526,0.421052632,0.831578947,5.842105263,4.815789474,0.671052632,198,26.3,0.663157895,1.421052632,0.405263158,15.34210526,5.263157895,0.008947368,0.457894737,0.113157895,66.15789474,245.3157895,305.7105263,654.9473684,2976.210526,9008.552632,1.121052632,11.55263158,42.47368421,11.5,1.736842105,35.36842105,557.6315789,609.4210526,43.71052632,2.026315789,2.657894737,19.60526316,6.342105263,28.02631579,21.18421053,1.631578947,1.236842105,0.736842105,3.473684211,16.34210526,9.157894737,7.026315789,7.078947368,2.236842105,6.763157895,14.92105263,8.157894737,2.526315789,8.210526316,9.131578947,25.47368421,16.86842105,757.0263158,59.73684211,207.8947368,351.1052632,204.3157895,27.71052632,756.7894737,16.42105263,15.55263158,10.07894737,550.5789474,34.57894737,10.76315789,10.31578947,54.84210526,14.15789474,12.78947368,2
Crystal Palace 2021 - 2022,Premier League,51.1,1.415789474,1.252631579,0.965789474,3.789473684,2.605263158,0.315789474,1.013157895,9.868421053,5.842105263,0.752631579,267,39.3,0.860526316,1.131578947,0.397368421,10.63157895,3.684210526,0.008157895,0.423684211,-0.1,75.55263158,200.2631579,197.2368421,502.1315789,2434.5,6987.842105,0.794736842,8.026315789,26.05263158,7.105263158,1.973684211,24,394.2894737,450.3947368,50.07894737,1.052631579,3.157894737,16.92105263,4.605263158,18.73684211,12.94736842,1.631578947,1.157894737,0.657894737,2.052631579,16.73684211,9.815789474,8.473684211,6.210526316,2.052631579,7.184210526,15.13157895,7.947368421,3.552631579,8.342105263,8.763157895,25.5,20.02631579,612.6315789,72.47368421,229.8947368,261.1315789,128.1315789,19.31578947,612.4210526,18.10526316,17.65789474,12.39473684,388.9736842,23.36842105,10.89473684,12.65789474,55.34210526,16.05263158,16.28947368,0
Everton 2021 - 2022,Premier League,40,1.25,1.107894737,0.881578947,4.947368421,3.342105263,0.210526316,1.471052632,22.21052632,3.263157895,1.223684211,298,80.5,1.565789474,0.973684211,0.378947368,11.31578947,3.421052632,0.007368421,0.465789474,-0.144736842,71.15789474,128.9736842,154.1842105,383.0789474,2004,4863.157895,0.660526316,8.5,23.60526316,6.710526316,2.026315789,21.10526316,272.7631579,335.4210526,46.26315789,0.789473684,1.842105263,17.18421053,4.236842105,19.39473684,13.78947368,1.763157895,1.131578947,0.421052632,1.763157895,18.55263158,10.57894737,9.710526316,6.631578947,2.210526316,8.842105263,19.34210526,10.5,3.684210526,9.368421053,9.605263158,28.15789474,21.44736842,498.3421053,60.18421053,168.3947368,206.4736842,129.7894737,19.07894737,498.1578947,16.68421053,16.84210526,8.552631579,268.4736842,20.63157895,9.684210526,10.21052632,53.23684211,16.68421053,19.07894737,1
Leeds United 2021 - 2022,Premier League,52.3,1.326315789,1.223684211,0.942105263,5.894736842,3.842105263,0.131578947,1.642105263,10.86842105,7.263157895,0.771052632,291,37.1,0.873684211,1.236842105,0.378947368,12.63157895,3.736842105,0.006842105,0.481578947,-0.221052632,72.47368421,185.5263158,191.7105263,481.2631579,2346.184211,6385.868421,0.660526316,9.131578947,26.18421053,7.157894737,1.394736842,29.07894737,368.1052632,432.4210526,47.18421053,1.736842105,3.684210526,17.05263158,4.473684211,22.13157895,15.26315789,1.842105263,1.342105263,1,1.736842105,20.68421053,11.47368421,10.39473684,7.842105263,2.447368421,10.73684211,23.31578947,12.57894737,3.763157895,8.684210526,10.39473684,31.07894737,16.36842105,593.7105263,68.92105263,224.3421053,248.3421053,127.4473684,20.52631579,593.5789474,17.23684211,17.78947368,7.842105263,362.6052632,28.34210526,12.34210526,9.684210526,59.47368421,12.36842105,16.47368421,3
Leicester City 2021 - 2022,Premier League,52,1.371052632,1.331578947,0.986842105,5.052631579,3.473684211,0.184210526,1.497368421,12.92105263,4.578947368,0.892105263,298,42.3,0.976315789,1.026315789,0.386842105,11.39473684,4.315789474,0.009736842,0.468421053,0.260526316,67.92105263,199.4473684,231.2894737,529.9210526,2479.315789,7093.342105,0.707894737,8.210526316,26.97368421,6.684210526,1.5,26.5,424.4473684,480.7368421,47.60526316,1.710526316,2.763157895,14.63157895,4.868421053,19.71052632,14.65789474,1.078947368,1.236842105,0.815789474,2.815789474,18.15789474,10.10526316,8.842105263,7.105263158,2.210526316,8.052631579,18.94736842,10.89473684,3.842105263,8.5,9.657894737,27.81578947,20.44736842,636.9736842,72.86842105,224.6578947,289.7894737,128.2105263,19.23684211,636.9210526,14.39473684,15.81578947,9.684210526,419.3947368,25.81578947,9.368421053,10.42105263,53.02631579,13.94736842,14.55263158,0
