Squad,Avg. Possession,Expected Goals,NP Expected Goals,Expected Assisted Goals,Shots on Target Against,Saves Made,Clean Sheets,GK Post-Shot Expected Goals,GK Passes Attempted > 40 yards,GK Throws Attempted,GK Avg. Length of Passes,GK Goal Kicks Attempted,GK % of Goal Kicks > 40 yards,GK Avg. Length of Goal Kicks,GK # of Def. Actions Outside Box,GK Avg. Distance from Goal of Def. Actions,Total Shots,Shots on Target,Goals per Shot on Target,Avg. Distance from Goal Shooting,Goals Minus Expected Goals,Long Passes Attempted,Medium Passes Attempted,Short Passes Attempted,Total Passes Attempted,Progressive Distance of Passes,Total Distance of Passes,Expected Assists,Key Passes (directly lead to shot),Completed Passes into Final Third,Completed Passes into Box,Completed Crosses into Box,Progressive Passes,Total Passes Completed,Live Ball Passes,Dead Ball Passes,Passes Completed by Defenders into Open Space,Switches > width of 40 yards,Crosses,Corner Kicks,Shot Creating Actions,Live Ball Passes Leading to Shot,Dead Ball Passes Leading to Shot,Dribbles Leading to Shot,Def. Actions Leading to Shot,Goal Creating Actions,# of Players Tackled,Tackles Leading to Possession,Tackles in Def. Third,Tackles in Mid. Third,Tackles in Att. Third,# of Dribblers Tackled,# of Times Dribbled Past + Tackles,# of Times Dribbled Past,# of Shots Blocked,# of Passes Blocked,Interceptions,Tackles + Interceptions,Clearances,Touches,Touches in Own Box,Touches in Def. Third,Touches in Mid. Third,Touches in Att. Third,Touches in Opp. Box,Live Ball Touches,Attempted Dribbles,Miscontrol,Dispossessed,Passes Received,Progressive Passes Received,Fouls Committed,Fouls Drawn,Loose Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,League
Arouca 2021 - 2022,49.9,1.038235294,0.967647059,0.708823529,4.294117647,2.705882353,0.147058824,1.573529412,16,4.647058824,1.073529412,7.323529412,62.2,1.361764706,1.911764706,0.491176471,12.58823529,3.470588235,0.007058824,0.567647059,-0.155882353,87.35294118,178.6470588,163.7647059,449.5588235,2546.794118,6433.117647,0.735294118,8.588235294,27.97058824,6.470588235,1.911764706,34.91176471,337.0882353,392.2647059,55.79411765,1.029411765,3.441176471,18.79411765,4.941176471,21.14705882,14.32352941,2.441176471,0.970588235,0.382352941,1.382352941,14.58823529,9.058823529,6.794117647,6.205882353,1.588235294,7.911764706,16.38235294,8.470588235,2.088235294,7.205882353,10.44117647,25.02941176,18.11764706,558.3823529,56.26470588,180.5588235,257.0882353,126.2647059,17.41176471,558.2941176,14.29411765,17.79411765,8.676470588,334.3823529,34.52941176,15.29411765,14.70588235,52.5,16.02941176,17.05882353,Primeira Liga
B-SAD 2021 - 2022,43.5,0.911764706,0.844117647,0.611764706,4.882352941,3.235294118,0.235294118,1.708823529,16.11764706,3.558823529,1.076470588,8.705882353,64.9,1.426470588,0.882352941,0.355882353,9.5,2.588235294,0.006470588,0.582352941,-0.264705882,76,155.7352941,136.8529412,389.7352941,2168.352941,5459.382353,0.555882353,6.235294118,18.79411765,4.294117647,1.647058824,25,289.3529412,334.3529412,53.44117647,0.647058824,3.205882353,15.82352941,3.852941176,16.11764706,10.88235294,1.735294118,0.823529412,0.382352941,1.147058824,13.38235294,7.911764706,7,4.794117647,1.588235294,6.911764706,15.52941176,8.617647059,4.058823529,6.941176471,9.823529412,23.20588235,19.97058824,491.2352941,65.38235294,182.4705882,223.5294118,90.47058824,12.58823529,491.1470588,12.11764706,15.47058824,6.264705882,287.1176471,24.88235294,16.05882353,15.41176471,47.91176471,15.23529412,16.17647059,Primeira Liga
Benfica 2021 - 2022,60.9,2.152941176,2.035294118,1.617647059,3.205882353,2.323529412,0.352941176,1.023529412,6,5.205882353,0.820588235,6.5,20.8,0.864705882,0.911764706,0.420588235,15.11764706,5.588235294,0.011176471,0.482352941,0.111764706,72.73529412,246.2352941,232,582.0294118,2858.558824,8651.441176,1.485294118,11.82352941,40.14705882,11.55882353,2.676470588,53.5,488.6764706,526.8529412,52.76470588,2.205882353,3.911764706,20.47058824,6.647058824,26.91176471,19.70588235,2.441176471,1.823529412,0.382352941,3.852941176,16.20588235,9.970588235,6.882352941,6.941176471,2.382352941,8.352941176,15.91176471,7.558823529,2.705882353,7.5,9.382352941,25.58823529,13.20588235,687.1764706,54.23529412,181.9411765,316.3529412,195,29.02941176,687.0294118,21.58823529,15.41176471,8.676470588,485.7647059,53.17647059,14.5,13.08823529,51.52941176,13.05882353,11.11764706,Primeira Liga
Boavista 2021 - 2022,44.6,1.044117647,0.952941176,0.717647059,4.058823529,2.529411765,0.176470588,1.355882353,16.94117647,5.176470588,1.152941176,7.705882353,70.2,1.488235294,1.794117647,0.417647059,11.35294118,3.470588235,0.009117647,0.597058824,0.102941176,79.29411765,165.2352941,143.3235294,411.4117647,2295.911765,6003.058824,0.55,8.470588235,19.64705882,3.235294118,1.294117647,24.73529412,311.3823529,358.2058824,51.41176471,0.764705882,3.529411765,14.32352941,4.058823529,19.23529412,12.73529412,2.5,1.235294118,0.294117647,1.911764706,16.67647059,9.911764706,9.117647059,6.176470588,1.382352941,8.411764706,17.91176471,9.5,2.941176471,6.941176471,11.14705882,27.82352941,19,523.7941176,59.82352941,199.8235294,237.4705882,92.55882353,12.91176471,523.6764706,19.64705882,15.88235294,7.058823529,308.7352941,24.38235294,14.94117647,13.73529412,51.73529412,14.20588235,13.97058824,Primeira Liga
Braga 2021 - 2022,53.7,1.555882353,1.417647059,1.088235294,3.470588235,2.588235294,0.470588235,0.944117647,12.64705882,5.147058824,0.938235294,7.294117647,39.5,1.026470588,1.411764706,0.464705882,13.17647059,4.588235294,0.008823529,0.552941176,-0.026470588,92.26470588,230.1764706,199.0588235,547.3235294,2726.264706,8227.970588,0.917647059,10.47058824,35.97058824,7.470588235,1.676470588,40.91176471,436.4705882,494.4117647,51.23529412,1.823529412,4.794117647,15.67647059,4.588235294,23.20588235,17.52941176,2.117647059,1.235294118,0.294117647,2.558823529,13.82352941,8.352941176,5.441176471,6.147058824,2.235294118,6.205882353,15.38235294,9.176470588,2.705882353,7.411764706,9.882352941,23.70588235,16.17647059,651.0588235,61.88235294,197.7647059,311.9705882,146.5588235,20.11764706,650.8823529,15.23529412,15.29411765,8.058823529,433.6764706,40.55882353,14.38235294,11.67647059,55.70588235,15.02941176,15.20588235,Primeira Liga
Estoril 2021 - 2022,47.4,1.044117647,0.885294118,0.702941176,4.235294118,3,0.323529412,1.155882353,11.88235294,4.411764706,0.867647059,9.735294118,47.1,1.194117647,0.617647059,0.373529412,10.26470588,3.176470588,0.007941176,0.544117647,-0.014705882,76.29411765,194.0588235,143.0882353,434.2647059,2313.647059,6632.088235,0.679411765,7.441176471,25.02941176,5.441176471,2.294117647,34.58823529,340.9117647,381.1764706,50.79411765,0.970588235,3.676470588,17.91176471,4.352941176,18.35294118,12.94117647,1.735294118,0.852941176,0.411764706,1.705882353,13.14705882,7.411764706,6.264705882,5.058823529,1.823529412,6.5,13.94117647,7.441176471,4.470588235,5.764705882,8.764705882,21.91176471,18.70588235,532.5882353,72.47058824,206.2941176,215.4117647,115.6470588,14.85294118,532.3823529,14.17647059,14.05882353,7.147058824,336.9117647,34.29411765,14.5,14,45.08823529,12.5,12.73529412,Primeira Liga
Famalicão 2021 - 2022,47.4,1.394117647,1.297058824,0.970588235,4.147058824,2.647058824,0.264705882,1.285294118,12.73529412,5.294117647,1.035294118,7,58,1.344117647,2.205882353,0.479411765,11.73529412,4.147058824,0.008235294,0.505882353,-0.129411765,82.73529412,175.2058824,151.1764706,431.6176471,2539.823529,6575.088235,0.867647059,8.5,27.52941176,6.382352941,2.088235294,35.32352941,335.8235294,375.9117647,53.47058824,1.352941176,5.058823529,17.41176471,4.588235294,20.70588235,13.55882353,2.647058824,1.411764706,0.323529412,2.205882353,16.17647059,9.823529412,7.794117647,6.323529412,2.058823529,8.705882353,17.97058824,9.264705882,3.147058824,6.970588235,11.88235294,28.05882353,20.70588235,545.7352941,57.38235294,188.4705882,240,123.3529412,18,545.5882353,18.20588235,17.17647059,9,333.0882353,34.82352941,15.02941176,15.41176471,51.55882353,14.20588235,13.58823529,Primeira Liga
Gil Vicente FC 2021 - 2022,54.4,1.25,1.141176471,0.932352941,4.264705882,3.058823529,0.323529412,1.305882353,11.94117647,4.588235294,0.991176471,8.617647059,51.2,1.25,1.294117647,0.452941176,12.41176471,4.5,0.008529412,0.547058824,0.132352941,87.35294118,221.9705882,178.1764706,512.0588235,2733,7869.176471,0.847058824,9.205882353,35.23529412,7.588235294,1.205882353,42.02941176,409.6764706,456.1764706,54.20588235,1.705882353,6.235294118,14.76470588,5.205882353,21.70588235,15.17647059,1.647058824,1.588235294,0.470588235,2.470588235,12.64705882,7.294117647,5,5.970588235,1.676470588,5,13.14705882,8.147058824,3.264705882,6.235294118,8.294117647,20.94117647,18.61764706,612.1176471,60.47058824,190.3529412,285.0588235,141.6470588,18.17647059,611.9705882,15.41176471,13.5,6.911764706,406.4705882,41.64705882,13.38235294,13.82352941,48.58823529,14.29411765,13.94117647,Primeira Liga
Marítimo 2021 - 2022,48.7,1.032352941,0.891176471,0.658823529,4.588235294,3.235294118,0.264705882,1.441176471,14.14705882,5.264705882,1.014705882,8.970588235,48.9,1.161764706,1.058823529,0.414705882,10.32352941,3.294117647,0.008529412,0.579411765,0.085294118,84.02941176,194.4705882,142,439.8529412,2538.529412,6789.911765,0.594117647,7.235294118,22.26470588,4.794117647,1.823529412,29.32352941,341.6764706,383.2058824,54.94117647,0.735294118,3.588235294,16.32352941,4.352941176,17.29411765,11.32352941,2.205882353,1.147058824,0.205882353,1.823529412,17.20588235,10.64705882,8.441176471,7.205882353,1.558823529,7.323529412,15.44117647,8.117647059,3.588235294,7.647058824,10.08823529,27.29411765,18.88235294,551.4411765,66.38235294,215.7941176,243.5,99.11764706,13.55882353,551.2352941,18.85294118,18.11764706,8.647058824,338.9705882,29.08823529,15.26470588,18.29411765,50.14705882,14.5,12.91176471,Primeira Liga
Moreirense 2021 - 2022,44.4,1.270588235,1.108823529,0.711764706,4.147058824,2.647058824,0.117647059,1.464705882,17.23529412,3.411764706,1.188235294,7.5,80.4,1.644117647,1.352941176,0.45,11.76470588,3.617647059,0.006764706,0.561764706,-0.329411765,79.47058824,146.1764706,137.3823529,388.5,2123.911765,5276.794118,0.635294118,7.147058824,23.58823529,5.176470588,1.823529412,30.26470588,274.8823529,333.5,53.41176471,0.647058824,4.323529412,19.17647059,4.588235294,19.44117647,12.23529412,2.294117647,1.264705882,0.411764706,1.705882353,14.76470588,8.647058824,7.264705882,5.911764706,1.588235294,6.617647059,15.79411765,9.176470588,2.735294118,6.588235294,9.147058824,23.91176471,19.82352941,495.4705882,51.14705882,156.5,222.1470588,122.8529412,17.41176471,495.2647059,15.44117647,15.08823529,7.382352941,272.1764706,30,15.29411765,13.11764706,52.14705882,18.35294118,17.94117647,Primeira Liga
